Time,AirT_Lapse1_daily_mean
2016-08-16,22.73675
2016-08-17,18.607625
2016-08-18,21.671625
2016-08-19,22.171875
2016-08-20,21.921875
2016-08-21,18.358125
2016-08-22,13.851125
2016-08-23,15.665
2016-08-24,19.0445
2016-08-25,20.421625
2016-08-26,20.85925
2016-08-27,17.482375
2016-08-28,13.97625
2016-08-29,16.104
2016-08-30,15.165375
2016-08-31,13.6635
2016-09-01,11.65875
2016-09-02,10.7815
2016-09-03,11.094875
2016-09-04,10.7185
2016-09-05,11.72125
2016-09-06,12.285375
2016-09-07,12.159875
2016-09-08,11.095
2016-09-09,11.156375
2016-09-10,13.97575
2016-09-11,13.53775
2016-09-12,11.72025
2016-09-13,12.596875
2016-09-14,13.78725
2016-09-15,13.912875
2016-09-16,14.53925
2016-09-17,12.16
2016-09-18,10.844125
2016-09-19,9.46575
2016-09-20,9.465375
2016-09-21,9.652875
2016-09-22,10.5925
2016-09-23,9.46575
2016-09-24,10.21775
2016-09-25,11.8465
2016-09-26,14.16375
2016-09-27,13.41275
2016-09-28,11.0315
2016-09-29,10.3425
2016-09-30,10.718875
2016-10-01,8.023375
2016-10-02,8.901
2016-10-03,8.5875
2016-10-04,8.775875
2016-10-05,9.089375
2016-10-06,9.34025
2016-10-07,8.5255
2016-10-08,8.901375
2016-10-09,8.337125
2016-10-10,6.267875
2016-10-11,3.444625
2016-10-12,4.573625
2016-10-13,8.6505
2016-10-14,7.898375
2016-10-15,7.45925
2016-10-16,7.459375
2016-10-17,7.334
2016-10-18,7.146
2016-10-19,6.706875
2016-10-20,8.023625
2016-10-21,6.45575
2016-10-22,6.3305
2016-10-23,7.58475
2016-10-24,9.402625
2016-10-25,7.772875
2016-10-26,7.334
2016-10-27,8.4
2016-10-28,7.584875
2016-10-29,6.5815
2016-10-30,5.954125
2016-10-31,7.459375
2016-11-01,6.3935
2016-11-02,7.396875
2016-11-03,7.835625
2016-11-04,7.33325
2016-11-05,9.77875
2016-11-06,6.247
2016-11-07,8.838625
2016-11-08,11.09475
2016-11-09,10.844125
2016-11-10,9.402625
2016-11-11,10.468125
2016-11-12,9.214625
2016-11-13,6.581875
2016-11-14,6.1425
2016-11-15,4.888
2016-11-16,2.6295
2016-11-17,2.50375
2016-11-18,2.503875
2016-11-19,4.699875
2016-11-20,6.268125
2016-11-21,4.888
2016-11-22,4.197875
2016-11-23,3.759125
2016-11-24,3.00625
2016-11-25,3.32
2016-11-26,4.009875
2016-11-27,2.567
2016-11-28,2.127375
2016-11-29,2.692375
2016-11-30,2.566625
2016-12-01,2.002
2016-12-02,3.32
2016-12-03,2.504
2016-12-04,0.369625
2016-12-05,-1.325875
2016-12-06,-4.02675
2016-12-07,-6.35225
2016-12-08,-5.59825
2016-12-09,-2.833375
2016-12-10,-0.195375
2016-12-11,0.558
2016-12-12,-1.64
2016-12-13,-3.4615
2016-12-14,-5.849625
2016-12-15,-6.16375
2016-12-16,-8.49
2016-12-17,-8.427125
2016-12-18,-3.713
2016-12-19,0.18125
2016-12-20,0.74625
2016-12-21,0.62075
2016-12-22,0.74625
2016-12-23,0.244
2016-12-24,-1.326
2016-12-25,-5.660625
2016-12-26,-2.70825
2016-12-27,0.36975
2016-12-28,0.558
2016-12-29,0.4325
2016-12-30,0.244125
2016-12-31,-1.95375
2017-01-01,-3.021625
2017-01-02,-7.421125
2017-01-03,-9.055875
2017-01-04,-8.301375
2017-01-05,-8.804375
2017-01-06,-5.220875
2017-01-07,-5.5355
2017-01-08,-0.635125
2017-01-09,0.244125
2017-01-10,-4.404125
2017-01-11,-7.60975
2017-01-12,-9.2445
2017-01-13,-5.975625
2017-01-14,-4.5295
2017-01-15,-1.577
2017-01-16,0.6205
2017-01-17,2.31575
2017-01-18,2.62975
2017-01-19,2.002
2017-01-20,1.562375
2017-01-21,1.687875
2017-01-22,1.122875
2017-01-23,-0.1955
2017-01-24,-0.383875
2017-01-25,0.432125
2017-01-26,0.74625
2017-01-27,0.494875
2017-01-28,0.87175
2017-01-29,1.311
2017-01-30,0.934625
2017-01-31,-1.891
2017-02-01,-2.268375
2017-02-02,-2.958875
2017-02-03,-1.200125
2017-02-04,-1.011875
2017-02-05,-1.70275
2017-02-06,-4.718125
2017-02-07,-4.341
2017-02-08,-2.896375
2017-02-09,0.9345
2017-02-10,1.122875
2017-02-11,0.809
2017-02-12,0.74625
2017-02-13,1.8135
2017-02-14,3.068625
2017-02-15,3.50825
2017-02-16,3.069
2017-02-17,2.064625
2017-02-18,1.876125
2017-02-19,1.876125
2017-02-20,2.0645
2017-02-21,1.2485
2017-02-22,-0.069875
2017-02-23,-0.44675
2017-02-24,-0.13275
2017-02-25,-0.823625
2017-02-26,-0.132875
2017-02-27,-2.20525
2017-02-28,-1.514375
2017-03-01,0.4325
2017-03-02,0.99725
2017-03-03,1.185625
2017-03-04,-0.634875
2017-03-05,-0.1955
2017-03-06,-0.823625
2017-03-07,-0.697875
2017-03-08,-0.069875
2017-03-09,0.30675
2017-03-10,1.625125
2017-03-11,2.001875
2017-03-12,2.35157142857
2017-03-13,2.88075
2017-03-14,3.4455
2017-03-15,3.13175
2017-03-16,2.252875
2017-03-17,1.75075
2017-03-18,2.503875
2017-03-19,0.68375
2017-03-20,1.248375
2017-03-21,4.135375
2017-03-22,4.009875
2017-03-23,3.256875
2017-03-24,3.570875
2017-03-25,2.378625
2017-03-26,2.754625
2017-03-27,3.821625
2017-03-28,3.50825
2017-03-29,4.135375
2017-03-30,2.880125
2017-03-31,4.134375
2017-04-01,5.076125
2017-04-02,3.069
2017-04-03,2.566
2017-04-04,4.19725
2017-04-05,5.578
2017-04-06,5.452375
2017-04-07,5.327125
2017-04-08,3.759
2017-04-09,3.194
2017-04-10,3.82175
2017-04-11,4.26
2017-04-12,5.70325
2017-04-13,4.950625
2017-04-14,3.884375
2017-04-15,3.005875
2017-04-16,5.20025
2017-04-17,6.894875
2017-04-18,6.142375
2017-04-19,5.577875
2017-04-20,5.891625
2017-04-21,6.89425
2017-04-22,7.1455
2017-04-23,7.020375
2017-04-24,7.270625
2017-04-25,8.149
2017-04-26,5.89175
2017-04-27,3.696
2017-04-28,5.891125
2017-04-29,4.88775
2017-04-30,5.766
2017-05-01,5.577875
2017-05-02,7.897125
2017-05-03,9.841375
2017-05-04,13.223625
2017-05-05,9.9665
2017-05-06,5.515125
2017-05-07,6.831125
2017-05-08,7.772125
2017-05-09,9.90275
2017-05-10,12.159125
2017-05-11,9.527875
2017-05-12,5.38975
2017-05-13,4.887875
2017-05-14,5.954
2017-05-15,5.76625
2017-05-16,4.448875
2017-05-17,7.458625
2017-05-18,10.780625
2017-05-19,10.8435
2017-05-20,13.72425
2017-05-21,15.28875
2017-05-22,16.79075
2017-05-23,16.10325
2017-05-24,8.148875
2017-05-25,11.092375
2017-05-26,14.91275
2017-05-27,16.790375
2017-05-28,18.668125
2017-05-29,18.668125
2017-05-30,12.598375
2017-05-31,11.78375
2017-06-01,11.909375
2017-06-02,11.094875
2017-06-03,10.718625
2017-06-04,11.407875
2017-06-05,12.345
2017-06-06,16.97875
2017-06-07,18.73175
2017-06-08,12.222375
2017-06-09,8.901125
2017-06-10,8.964
2017-06-11,11.595875
2017-06-12,11.408
2017-06-13,10.02975
2017-06-14,9.4025
2017-06-15,10.15475
2017-06-16,10.46825
2017-06-17,10.217
2017-06-18,10.593625
2017-06-19,13.600125
2017-06-20,13.538125
2017-06-21,12.5355
2017-06-22,13.15975
2017-06-23,16.29025
2017-06-24,19.668625
2017-06-25,22.171
2017-06-26,20.172375
2017-06-27,15.1655
2017-06-28,14.977625
2017-06-29,16.47925
2017-06-30,19.045
2017-07-01,17.732125
2017-07-02,17.356
2017-07-03,15.66675
2017-07-04,15.72775
2017-07-05,18.731375
2017-07-06,20.1085
2017-07-07,17.98275
2017-07-08,17.543375
2017-07-09,17.732375
2017-07-10,16.418125
2017-07-11,14.976875
2017-07-12,16.480125
2017-07-13,15.604625
2017-07-14,16.666875
2017-07-15,16.48025
2017-07-16,14.790625
2017-07-17,15.1015
2017-07-18,17.41825
2017-07-19,16.917875
2017-07-20,13.663625
2017-07-21,14.1015
2017-07-22,15.917375
2017-07-23,17.4825
2017-07-24,17.2305
2017-07-25,19.232625
2017-07-26,19.295875
2017-07-27,17.357
2017-07-28,16.98025
2017-07-29,17.981375
2017-07-30,18.4825
2017-07-31,18.857
2017-08-01,20.421625
2017-08-02,22.234375
2017-08-03,22.985125
2017-08-04,19.484625
2017-08-05,19.108375
2017-08-06,19.420625
2017-08-07,20.859375
2017-08-08,20.984375
2017-08-09,22.0475
2017-08-10,22.797625
2017-08-11,22.423125
2017-08-12,18.984125
2017-08-13,15.6045
2017-08-14,14.602
2017-08-15,15.164625
2017-08-16,16.104375
2017-08-17,17.544375
2017-08-18,15.79225
2017-08-19,16.3555
2017-08-20,16.16675
2017-08-21,17.85625
2017-08-22,20.48375
2017-08-23,18.42075
2017-08-24,15.228625
2017-08-25,14.28825
2017-08-26,17.041625
2017-08-27,20.045
2017-08-28,21.48425
2017-08-29,21.921875
2017-08-30,17.607
2017-08-31,18.233
2017-09-01,18.231625
2017-09-02,21.234125
2017-09-03,22.359625
2017-09-04,21.609
2017-09-05,21.8615
2017-09-06,20.985625
2017-09-07,19.046625
2017-09-08,16.856625
2017-09-09,13.537875
2017-09-10,12.284875
2017-09-11,14.601
2017-09-12,15.165875
2017-09-13,13.537625
2017-09-14,12.91
2017-09-15,13.22275
2017-09-16,13.411125
2017-09-17,11.28225
2017-09-18,7.6475
2017-09-19,7.835625
2017-09-20,8.023375
2017-09-21,8.462375
2017-09-22,11.03175
2017-09-23,12.284625
2017-09-24,11.846
2017-09-25,12.097375
2017-09-26,12.598
2017-09-27,14.288375
2017-09-28,14.4343333333
